"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL(MW)"
"USEP","04-Jul-2024","12","95.43","0.00","6018.650","0.00","0.000"
"USEP","04-Jul-2024","13","95.50","0.00","6222.172","0.00","0.000"
"USEP","04-Jul-2024","14","110.85","0.00","6443.908","0.00","0.000"
"USEP","04-Jul-2024","15","118.94","0.00","6659.556","4.84","0.000"
"USEP","04-Jul-2024","16","127.53","0.00","6867.720","9.46","0.000"
"USEP","04-Jul-2024","17","117.73","0.00","7032.267","39.61","0.000"
"USEP","04-Jul-2024","18","106.93","0.00","7071.400","101.87","0.000"
"USEP","04-Jul-2024","19","95.58","0.00","7032.172","209.35","0.000"
"USEP","04-Jul-2024","20","100.35","0.00","7087.538","218.87","0.000"
"USEP","04-Jul-2024","21","95.57","0.00","7041.789","311.79","0.000"
"USEP","04-Jul-2024","22","95.58","0.00","7019.126","358.40","0.000"
"USEP","04-Jul-2024","23","88.22","0.00","6876.283","497.33","0.000"
"USEP","04-Jul-2024","24","88.20","0.00","6840.584","516.53","0.000"
"USEP","04-Jul-2024","25","90.59","0.00","6738.639","583.58","0.000"
"USEP","04-Jul-2024","26","89.62","0.00","6669.119","641.03","0.000"
"USEP","04-Jul-2024","27","92.75","0.00","6701.712","639.68","0.000"
"USEP","04-Jul-2024","28","90.74","0.00","6704.247","692.58","0.000"
"USEP","04-Jul-2024","29","90.74","0.00","6686.996","708.14","0.000"
"USEP","04-Jul-2024","30","90.73","0.00","6701.856","698.30","0.000"
"USEP","04-Jul-2024","31","93.28","0.00","6801.087","628.69","0.000"
"USEP","04-Jul-2024","32","96.13","0.00","6878.455","589.49","0.000"
"USEP","04-Jul-2024","33","98.62","0.00","6964.232","522.46","0.000"
"USEP","04-Jul-2024","34","105.39","0.00","7051.023","414.18","0.000"
"USEP","04-Jul-2024","35","127.16","0.00","7102.433","317.85","0.000"
"USEP","04-Jul-2024","36","127.70","0.00","7110.092","214.65","0.000"
"USEP","04-Jul-2024","37","127.68","0.00","7124.480","118.98","0.000"
"USEP","04-Jul-2024","38","130.22","0.00","7167.704","37.61","0.000"
"USEP","04-Jul-2024","39","130.69","0.00","7193.011","3.50","0.000"
"USEP","04-Jul-2024","40","130.74","0.00","7193.732","0.00","0.000"
"USEP","04-Jul-2024","41","130.73","0.00","7185.710","0.00","0.000"
"USEP","04-Jul-2024","42","130.24","0.00","7159.424","0.00","0.000"
"USEP","04-Jul-2024","43","127.21","0.00","7093.149","0.00","0.000"
"USEP","04-Jul-2024","44","101.06","0.00","6975.519","0.00","0.000"
"USEP","04-Jul-2024","45","98.79","0.00","6831.285","0.00","0.000"
"USEP","04-Jul-2024","46","94.86","0.00","6702.482","0.00","0.000"
"USEP","04-Jul-2024","47","92.95","0.00","6568.670","0.00","0.000"
"USEP","04-Jul-2024","48","91.87","0.00","6405.058","0.00","0.000"
"USEP","05-Jul-2024","1","90.85","0.00","6235.094","0.00","0.000"
"USEP","05-Jul-2024","2","90.81","0.00","6114.780","0.00","0.000"
"USEP","05-Jul-2024","3","94.84","0.00","6067.391","0.00","0.000"
"USEP","05-Jul-2024","4","94.83","0.00","5997.055","0.00","0.000"
"USEP","05-Jul-2024","5","90.79","0.00","5940.860","0.00","0.000"
"USEP","05-Jul-2024","6","90.79","0.00","5881.622","0.00","0.000"
"USEP","05-Jul-2024","7","89.67","0.00","5835.232","0.00","0.000"
"USEP","05-Jul-2024","8","89.67","0.00","5810.874","0.00","0.000"
"USEP","05-Jul-2024","9","89.67","0.00","5822.658","0.00","0.000"
"USEP","05-Jul-2024","10","90.78","0.00","5867.766","0.00","0.000"
"USEP","05-Jul-2024","11","93.25","0.00","5968.687","0.00","0.000"
"USEP","05-Jul-2024","12","112.50","0.00","6140.823","0.00","0.000"
"USEP","05-Jul-2024","13","100.70","0.00","6323.937","0.00","0.000"
"USEP","05-Jul-2024","14","118.92","0.00","6516.356","0.00","0.000"
"USEP","05-Jul-2024","15","124.99","0.00","6695.385","4.45","0.000"
"USEP","05-Jul-2024","16","130.11","0.00","6902.589","8.53","0.000"
"USEP","05-Jul-2024","17","130.12","0.00","7042.977","40.11","0.000"
"USEP","05-Jul-2024","18","130.73","0.00","7115.057","84.69","0.000"
"USEP","05-Jul-2024","19","130.09","0.00","7114.674","168.66","0.000"
"USEP","05-Jul-2024","20","130.71","0.00","7161.189","191.10","0.000"
"USEP","05-Jul-2024","21","178.72","0.00","7300.950","132.67","0.000"
"USEP","05-Jul-2024","22","130.70","0.00","7172.823","253.79","0.000"
"USEP","05-Jul-2024","23","111.58","0.00","7039.935","299.54","0.000"
"USEP","05-Jul-2024","24","92.79","0.00","6923.727","328.65","0.000"
"USEP","05-Jul-2024","25","88.21","0.00","6777.455","430.47","0.000"
"USEP","05-Jul-2024","26","88.20","0.00","6705.917","534.32","0.000"
"USEP","05-Jul-2024","27","86.04","0.00","6624.448","633.29","0.000"
"USEP","05-Jul-2024","28","90.73","0.00","6897.088","451.82","0.000"
"USEP","05-Jul-2024","29","88.22","0.00","6745.050","609.42","0.000"
"USEP","05-Jul-2024","30","88.21","0.00","6752.217","569.14","0.000"
"USEP","05-Jul-2024","31","88.22","0.00","6773.007","570.83","0.000"
"USEP","05-Jul-2024","32","88.21","0.00","6811.658","575.35","0.000"
"USEP","05-Jul-2024","33","94.82","0.00","6997.134","394.82","0.000"
"USEP","05-Jul-2024","34","99.04","0.00","7050.482","325.98","0.000"
"USEP","05-Jul-2024","35","99.88","0.00","7040.805","291.81","0.000"
"USEP","05-Jul-2024","36","105.97","0.00","7102.130","143.86","0.000"
"USEP","05-Jul-2024","37","118.76","0.00","7123.074","70.93","0.000"
"USEP","05-Jul-2024","38","121.19","0.00","7132.899","36.23","0.000"
"USEP","05-Jul-2024","39","127.56","0.00","7147.680","5.00","0.000"
"USEP","05-Jul-2024","40","127.54","0.00","7136.592","0.00","0.000"
"USEP","05-Jul-2024","41","120.25","0.00","7117.274","0.00","0.000"
"USEP","05-Jul-2024","42","112.49","0.00","7072.230","0.00","0.000"
"USEP","05-Jul-2024","43","101.40","0.00","6991.334","0.00","0.000"
"USEP","05-Jul-2024","44","92.81","0.00","6857.039","0.00","0.000"
"USEP","05-Jul-2024","45","88.21","0.00","6710.479","0.00","0.000"
"USEP","05-Jul-2024","46","88.19","0.00","6576.592","0.00","0.000"
"USEP","05-Jul-2024","47","86.69","0.00","6462.541","0.00","0.000"
"USEP","05-Jul-2024","48","90.80","0.00","6384.089","0.00","0.000"
"USEP","06-Jul-2024","1","104.15","0.00","6310.717","0.00","0.000"
"USEP","06-Jul-2024","2","98.79","0.00","6204.359","0.00","0.000"
"USEP","06-Jul-2024","3","95.71","0.00","6056.109","0.00","0.000"
"USEP","06-Jul-2024","4","94.89","0.00","5974.000","0.00","0.000"
"USEP","06-Jul-2024","5","93.95","0.00","5899.375","0.00","0.000"
"USEP","06-Jul-2024","6","93.44","0.00","5834.646","0.00","0.000"
"USEP","06-Jul-2024","7","92.94","0.00","5770.821","0.00","0.000"
"USEP","06-Jul-2024","8","92.82","0.00","5737.298","0.00","0.000"
"USEP","06-Jul-2024","9","92.35","0.00","5728.298","0.00","0.000"
"USEP","06-Jul-2024","10","92.88","0.00","5736.200","0.00","0.000"
"USEP","06-Jul-2024","11","91.99","0.00","5755.841","0.00","0.000"
"USEP","06-Jul-2024","12","92.92","0.00","5822.842","0.00","0.000"
"USEP","06-Jul-2024","13","92.95","0.00","5914.638","0.00","0.000"
"USEP","06-Jul-2024","14","92.97","0.00","6016.965","0.00","0.000"
"USEP","06-Jul-2024","15","96.47","0.00","6110.004","4.22","0.000"
"USEP","06-Jul-2024","16","108.87","0.00","6245.918","7.70","0.000"
"USEP","06-Jul-2024","17","112.76","0.00","6390.978","30.55","0.000"
"USEP","06-Jul-2024","18","108.95","0.00","6448.997","74.21","0.000"
"USEP","06-Jul-2024","19","93.32","0.00","6421.717","172.91","0.000"
"USEP","06-Jul-2024","20","97.29","0.00","6468.544","219.35","0.000"
"USEP","06-Jul-2024","21","94.54","0.00","6443.675","306.59","0.000"
"USEP","06-Jul-2024","22","92.93","0.00","6432.711","334.58","0.000"
"USEP","06-Jul-2024","23","92.99","0.00","6415.495","343.59","0.000"
"USEP","06-Jul-2024","24","90.75","0.00","6347.182","372.64","0.000"
"USEP","06-Jul-2024","25","91.37","0.00","6322.914","356.56","0.000"
"USEP","06-Jul-2024","26","84.31","0.00","6226.754","413.46","0.000"
"USEP","06-Jul-2024","27","84.62","0.00","6162.194","496.05","0.000"
"USEP","06-Jul-2024","28","90.74","0.00","6222.206","450.25","0.000"
"USEP","06-Jul-2024","29","90.74","0.00","6230.452","453.67","0.000"
"USEP","06-Jul-2024","30","91.37","0.00","6249.427","410.59","0.000"
"USEP","06-Jul-2024","31","92.33","0.00","6303.381","346.87","0.000"
"USEP","06-Jul-2024","32","92.35","0.00","6326.224","313.64","0.000"
"USEP","06-Jul-2024","33","91.79","0.00","6322.804","333.19","0.000"
"USEP","06-Jul-2024","34","92.29","0.00","6356.486","281.21","0.000"
"USEP","06-Jul-2024","35","92.89","0.00","6364.045","267.64","0.000"
"USEP","06-Jul-2024","36","93.44","0.00","6416.479","216.39","0.000"
"USEP","06-Jul-2024","37","93.32","0.00","6534.059","123.41","0.000"
"USEP","06-Jul-2024","38","95.10","0.00","6644.850","59.05","0.000"
"USEP","06-Jul-2024","39","96.56","0.00","6715.921","6.67","0.000"
"USEP","06-Jul-2024","40","97.35","0.00","6735.980","0.00","0.000"
"USEP","06-Jul-2024","41","97.64","0.00","6765.353","0.00","0.000"
"USEP","06-Jul-2024","42","97.64","0.00","6768.678","0.00","0.000"
"USEP","06-Jul-2024","43","95.89","0.00","6733.609","0.00","0.000"
"USEP","06-Jul-2024","44","94.57","0.00","6657.688","0.00","0.000"
"USEP","06-Jul-2024","45","94.94","0.00","6563.864","0.00","0.000"
"USEP","06-Jul-2024","46","94.24","0.00","6477.237","0.00","0.000"
"USEP","06-Jul-2024","47","93.73","0.00","6378.334","0.00","0.000"
"USEP","06-Jul-2024","48","93.27","0.00","6259.725","0.00","0.000"
"USEP","07-Jul-2024","1","97.57","0.00","6138.517","0.00","0.000"
"USEP","07-Jul-2024","2","90.77","0.00","6044.211","0.00","0.000"
"USEP","07-Jul-2024","3","90.77","0.00","5952.852","0.00","0.000"
"USEP","07-Jul-2024","4","90.30","0.00","5863.174","0.00","0.000"
"USEP","07-Jul-2024","5","90.76","0.00","5789.071","0.00","0.000"
"USEP","07-Jul-2024","6","89.64","0.00","5735.370","0.00","0.000"
"USEP","07-Jul-2024","7","89.64","0.00","5694.576","0.00","0.000"
"USEP","07-Jul-2024","8","89.64","0.00","5670.810","0.00","0.000"
"USEP","07-Jul-2024","9","89.64","0.00","5659.955","0.00","0.000"
"USEP","07-Jul-2024","10","89.66","0.00","5666.282","0.00","0.000"
"USEP","07-Jul-2024","11","89.64","0.00","5685.556","0.00","0.000"
"USEP","07-Jul-2024","12","89.67","0.00","5737.875","0.00","0.000"
"USEP","07-Jul-2024","13","89.67","0.00","5809.105","0.00","0.000"
"USEP","07-Jul-2024","14","90.79","0.00","5892.357","0.00","0.000"
"USEP","07-Jul-2024","15","92.19","0.00","5930.771","4.93","0.000"
"USEP","07-Jul-2024","16","92.32","0.00","5972.697","8.74","0.000"
"USEP","07-Jul-2024","17","92.32","0.00","6050.592","33.74","0.000"
"USEP","07-Jul-2024","18","92.32","0.00","6084.413","69.11","0.000"
"USEP","07-Jul-2024","19","89.15","0.00","6114.005","82.88","0.000"
"USEP","07-Jul-2024","20","89.66","0.00","6151.871","131.35","0.000"
"USEP","07-Jul-2024","21","84.75","0.00","6160.295","195.50","0.000"
"USEP","07-Jul-2024","22","89.36","0.00","6197.028","186.52","0.000"
"USEP","07-Jul-2024","23","84.63","0.00","6195.110","211.18","0.000"
"USEP","07-Jul-2024","24","84.13","0.00","6170.166","248.61","0.000"
"USEP","07-Jul-2024","25","73.28","0.00","5965.108","408.92","0.000"
"USEP","07-Jul-2024","26","66.89","0.00","5779.976","529.79","0.000"
"USEP","07-Jul-2024","27","66.88","0.00","5766.969","508.02","0.000"
"USEP","07-Jul-2024","28","68.49","0.00","5795.452","503.39","0.000"
"USEP","07-Jul-2024","29","66.88","0.00","5743.456","569.24","0.000"
"USEP","07-Jul-2024","30","66.89","0.00","5749.843","593.74","0.000"
"USEP","07-Jul-2024","31","71.36","0.00","5873.591","511.46","0.000"
"USEP","07-Jul-2024","32","75.71","0.00","6028.113","375.61","0.000"
"USEP","07-Jul-2024","33","92.16","0.00","6171.378","267.28","0.000"
"USEP","07-Jul-2024","34","94.14","0.00","6273.725","187.11","0.000"
"USEP","07-Jul-2024","35","94.51","0.00","6322.764","149.25","0.000"
"USEP","07-Jul-2024","36","94.01","0.00","6307.994","179.18","0.000"
"USEP","07-Jul-2024","37","93.28","0.00","6405.997","119.83","0.000"
"USEP","07-Jul-2024","38","94.15","0.00","6502.221","64.52","0.000"
"USEP","07-Jul-2024","39","95.84","0.00","6611.616","4.51","0.000"
"USEP","07-Jul-2024","40","100.26","0.00","6673.438","0.00","0.000"
"USEP","07-Jul-2024","41","110.02","0.00","6730.578","0.00","0.000"
"USEP","07-Jul-2024","42","110.52","0.00","6740.746","0.00","0.000"
"USEP","07-Jul-2024","43","110.00","0.00","6724.837","0.00","0.000"
"USEP","07-Jul-2024","44","98.05","0.00","6637.306","0.00","0.000"
"USEP","07-Jul-2024","45","98.03","0.00","6527.166","0.00","0.000"
"USEP","07-Jul-2024","46","95.04","0.00","6408.929","0.00","0.000"
"USEP","07-Jul-2024","47","94.10","0.00","6298.809","0.00","0.000"
"USEP","07-Jul-2024","48","95.06","0.00","6291.906","0.00","0.000"
